Product Title,Price,Rating,Reviews,Product URL
Half Moon 35 L Casual Waterproof Laptop Bag/Backpack for Men Women Boys Girls/Office School College Teens & Students with Rain Cover (18 Inch) (Navy),Rs. 699,3.9 out of 5 stars,"13,840","https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-10
"
"NORTH ZONE Men's and Women's Lightweight Casual Laptop Bag (30 L, Navy Blue)",Rs. 599,4.0 out of 5 stars,200,"https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0MTA0NjExODc0NzY2OTczOjE2Njg4MDA4MDM6c3BfbXRmOjIwMDc0NzY4NzE0ODk4OjowOjo&url=%2FNORTH-ZONE-Womens-Lightweight-Casual%2Fdp%2FB0BCYX6DW2%2Fref%3Dsr_1_11_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1668800803%26qu%3DeyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"
F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),Rs. 831,4.2 out of 5 stars,"2,820","https://www.amazon.in/F-Gear-Raider-Marpat-Navy-Backpack/dp/B07F1157TV/ref=sr_1_13?crid=2M096C61O4MLT&keywords=bags&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=8-13
"
"MosQuick® Clear large Drawstring Bags Clear Plastic Travel Bags, Travel Garments Organizing Storage Plastic Bags ,Shoe bags , Stationery Bag,multipurpose bag - Translucent",Rs. 399,4.3 out of 5 stars,36,"https://www.amazon.in/MosQuick%C2%AE-Drawstring-Organizing-Stationery-multipurpose/dp/B09SB5DP5Y/ref=sxin_24_trfob_0_B09SB5DP5Y?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09SB5DP5Y&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
Amazon Brand - Symbol Autumn-Winter'20 womens Handbag (Navy),Rs. 449,4.3 out of 5 stars,182,"https://www.amazon.in/Amazon-Brand-Symbol-Autumn-Winter20-Handbag/dp/B08HTR6LSK/ref=sxin_24_trfob_1_B08HTR6LSK?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08HTR6LSK&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
Amazon Basics - Casual 21L  Laptop Backpack,Rs. 749,4.3 out of 5 stars,27,"https://www.amazon.in/Amazon-Basics-Casual-Laptop-Backpack/dp/B09W4X977X/ref=sxin_24_trfob_2_B09W4X977X?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B09W4X977X&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-3-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
Amazon Brand - Symbol Autumn-Winter'20 womens Handbag (mustard),Rs. 449,4.2 out of 5 stars,114,"https://www.amazon.in/Amazon-Brand-Autumn-Winter20-Handbag-mustard/dp/B08HVGQ3KT/ref=sxin_24_trfob_3_B08HVGQ3KT?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B08HVGQ3KT&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-4-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
Amazon Brand - Solimo 3 in 1 Messenger Bag (Grey),"Rs. 1,089",4.1 out of 5 stars,74,"https://www.amazon.in/Amazon-Brand-Solimo-Messenger-Grey/dp/B07SB9JJ3Z/ref=sxin_24_trfob_4_B07SB9JJ3Z?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B07SB9JJ3Z&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-5-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
Amazon Brand EONO Cotton Tote Bag,Rs. 299,4.3 out of 5 stars,340,"https://www.amazon.in/Amazon-Brand-EONO-Cotton-Flowers-Natural/dp/B0B3HQSLQT/ref=sxin_24_trfob_5_B0B3HQSLQT?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0B3HQSLQT&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-6-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
Murano Victor 31 LTR Laptop Backpack for 15.6 inch Laptop and Polyester Water Resistance Backpack for Men and Women- Green,"Rs. 1,479",4.3 out of 5 stars,58,"https://www.amazon.in/MURANO-Green-Laptop-Backpack-9050037_E/dp/B077D5JPXN/ref=sxin_24_trfob_6_B077D5JPXN?content-id=amzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857%3Aamzn1.sym.4ac7c850-d10c-4dc2-a504-0101aadd5857&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B077D5JPXN&pd_rd_r=1f6af1c5-eb39-4c52-90a1-4da7323c1606&pd_rd_w=B0Wfr&pd_rd_wg=To9e4&pf_rd_p=4ac7c850-d10c-4dc2-a504-0101aadd5857&pf_rd_r=1QS7G7DTRPPNT6NKEPHT&qid=1668800803&qu=eyJxc2MiOiI4LjA0IiwicXNhIjoiOC4wNiIsInFzcCI6IjYuNzgifQ%3D%3D&sprefix=ba%2Caps%2C283&sr=1-7-cc7a04fe-cc55-42ad-b883-1b910070c86a
"
